"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000100,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 530-4,48,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48851619,126.4334775,2021-08-18
405-2-000101,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 542-18,23,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48687094,126.4291213,2021-08-18
405-2-000102,외도동 제1,공영,노외,,제주특별자치도 제주시 외도일동 559-1,201,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48674205,126.4317597,2021-08-18
405-2-000103,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 632-7,51,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48568077,126.4284004,2021-08-18
405-2-000104,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도이동 233-8,19,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49280333,126.4326943,2021-08-18
405-2-000105,원노형 푸른 제1 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 710-4,40,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48232512,126.484031,2021-08-18
405-2-000106,원노형 푸른 제5 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 736,41,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47886632,126.4798738,2021-08-18
405-2-000107,원노형 푸른 제4 공영주차장,공영,노외,,제주특별자치도 제주시 노형동 751,33,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47774893,126.4798488,2021-08-18
405-2-000108,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1293-2,39,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48888037,126.4826257,2021-08-18
405-2-000109,노형동 무료 주차장,공영,노외,,제주특별자치도 제주시 노형동 1290-3,77,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48729718,126.4798218,2021-08-18
